PDB_Chain,PDB_ID,Chain_ID,UniProt_ID
1ne9A,1ne9,A,Q9EY50
1i5dA,1i5d,A,Q56310
1awwA,1aww,A,Q06187
2gg0A,2gg0,A,P0AE18
1kz9A,1kz9,A,Q9UUB1
2b81A,2b81,A,Q81B18
2g1uA,2g1u,A,
1x1rA,1x1r,A,O08989
1zggA,1zgg,A,P39155
1ytlA,1ytl,A,O30273
1pz7A,1pz7,A,P31696
1m7bA,1m7b,A,P61587
1ujyA,1ujy,A,Q15052
2o05A,2o05,A,P19623
1pryA,1pry,A,Q8U4M2
1jwqA,1jwq,A,Q9LCR3
1a25A,1a25,A,P68403
1usoA,1uso,A,Q5SHC7
1q5rH,1q5r,H,Q53079
1h1dA,1h1d,A,P22734
1yzqA,1yzq,A,P20340
1f71A,1f71,A,P0DP33
1zvqA,1zvq,A,P01112
2hxrA,2hxr,A,P27111
2bneA,2bne,A,P0A7E9
1gl5A,1gl5,A,P24604
1txyA,1txy,A,P07013
1o8qA,1o8q,A,Q39054
1agpA,1agp,A,P01112
2d5lA,2d5l,A,Q7MUW6
2cumA,2cum,A,P22105
1ykgA,1ykg,A,P38038
1k6cA,1k6c,A,P35963
1x92A,1x92,A,Q9HVZ0
1dbtA,1dbt,A,P25971
1kafA,1kaf,A,P22915
3rabA,3rab,A,P63012
2hmcA,2hmc,A,A9CGZ4
1mzrA,1mzr,A,Q46857
1guaA,1gua,A,P62834
1va5A,1va5,A,P9WQN9
1gofA,1gof,A,P0CS93
1aktA,1akt,A,P00323
1b4kA,1b4k,A,Q59643
1gm1A,1gm1,A,Q64512
1askA,1ask,A,P61972
1ksgA,1ksg,A,Q9D0J4
1mepA,1mep,A,P22629
2u1aA,2u1a,A,P09012
2f2jA,2f2j,A,P56254
2gydA,2gyd,A,P02791
1k5jA,1k5j,A,P05221
1aluA,1alu,A,P05231
1zclA,1zcl,A,Q78EG7
1zd9A,1zd9,A,Q96BM9
1loaA,1loa,A,P04122
1o22A,1o22,A,Q9WZX8
2dlmA,2dlm,A,O60504
1mwwA,1mww,A,O86237
1ti1A,1ti1,A,P0AEG4
1t4qA,1t4q,A,P01584
1gs9A,1gs9,A,P02649
1l7hA,1l7h,A,P03472
1xe1A,1xe1,A,Q8U2D2
1f5jA,1f5j,A,P77853
1ttiA,1tti,A,P04789
1csmA,1csm,A,P32178
1n6pA,1n6p,A,P20339
1bgcA,1bgc,A,P35833
1vlwA,1vlw,A,Q9WXS1
1x7tA,1x7t,A,P02766
1cpnA,1cpn,A,P23904
1r1zA,1r1z,A,Q62902
1qvyA,1qvy,A,P52565
1nmaN,1nma,N,P05803
1s1hK,1s1h,K,
1g2bA,1g2b,A,P07751
1v77A,1v77,A,O59543
1zgkA,1zgk,A,Q14145
1gydB,1gyd,B,P95470
2h2cA,2h2c,A,Q07157
1di0A,1di0,A,P61711
4nn9A,4nn9,A,P03472
1klyA,1kly,A,O26232
1vavA,1vav,A,Q9I4H0
2cc0A,2cc0,A,Q54413
1prwA,1prw,A,P62157
1g65E,1g65,E,P40302
1rfeA,1rfe,A,O53240
1f38A,1f38,A,O26249
1b09A,1b09,A,P02741
1ne2A,1ne2,A,Q9HIL9
1x8sA,1x8s,A,O97111
1d2aA,1d2a,A,P40347
2fpoA,2fpo,A,P0ADX9
1w8uA,1w8u,A,Q9C171
1i9gA,1i9g,A,P9WFZ1
2b4wA,2b4w,A,Q4QH86
1x3uA,1x3u,A,P10958
1bdqA,1bdq,A,P04587
1k6wA,1k6w,A,P25524
1ttcA,1ttc,A,P02766
1dz3A,1dz3,A,P52934
2cxcA,2cxc,A,Q9YAU4
1bzwA,1bzw,A,P02872
2fwiA,2fwi,A,Q2QJL3
2nq3A,2nq3,A,Q96J02
2fi1A,2fi1,A,A0A0H2UPC8
1swoA,1swo,A,P22629
1jmvA,1jmv,A,P44880
1onrA,1onr,A,P0A870
1ce3A,1ce3,A,Q40378
1g90A,1g90,A,P0A910
1df8A,1df8,A,P22629
1vjcA,1vjc,A,Q7SIB7
2q21A,2q21,A,P01112
1a5aA,1a5a,A,P00929
1vpeA,1vpe,A,P36204
1qpgA,1qpg,A,P00560
2nm0A,2nm0,A,Q9S274
1ji5A,1ji5,A,Q8RPQ2
1inyA,1iny,A,P03472
1gz9A,1gz9,A,P83410
1yadA,1yad,A,P25053
1u83A,1u83,A,O06739
2frgP,2frg,P,Q86YW5
1o5kA,1o5k,A,Q9X1K9
1jpmA,1jpm,A,O34508
2avkA,2avk,A,Q9REU3
2iavA,2iav,A,Q7SIG4
1t6bY,1t6b,Y,P58335
1dtlA,1dtl,A,P09860
1qrqA,1qrq,A,P62483
1vhuA,1vhu,A,O28751
1xu7A,1xu7,A,P28845
1yxyA,1yxy,A,P65522
1fynA,1fyn,A,P06241
1kuuA,1kuu,A,O27099
1qgeD,1qge,D,P0DUB9
1yelA,1yel,A,Q9FX77
1ae1A,1ae1,A,P50162
1qokA,1qok,A,Q8K1F2
1y65A,1y65,A,Q9KU37
2ihbA,2ihb,A,P08754
1frhA,1frh,A,P00214
2dfkB,2dfk,B,P60953
1pchA,1pch,A,P45611
1ncbN,1ncb,N,P03472
1swfA,1swf,A,P22629
1od6A,1od6,A,Q5SJS9
1pmzA,1pmz,A,
1u8tA,1u8t,A,P0AE67
1booA,1boo,A,P11409
1x91A,1x91,A,Q9LNF2
2c24A,2c24,A,P71140
2f26A,2f26,A,Q9Y3R4
1z2cA,1z2c,A,P08134
1axaA,1axa,A,P03366
2g0wA,2g0w,A,
1tuxA,1tux,A,P23360
1oe9B,1oe9,B,P14649
1jp5A,1jp5,A,
1yfqA,1yfq,A,P26449
1pujA,1puj,A,O31743
1ax8A,1ax8,A,P41159
1aa9A,1aa9,A,P01112
2gzxA,2gzx,A,
1p6qA,1p6q,A,Q52884
1nedA,1ned,A,P0A7B8
1vhcA,1vhc,A,P44480
1foeB,1foe,B,P63000
1ofuX,1ofu,X,Q9HZJ8
1ygtA,1ygt,A,Q94524
1yarA,1yar,A,P25156
1akrA,1akr,A,P00323
1s3qA,1s3q,A,O29424
1loqA,1loq,A,O26232
1ws6A,1ws6,A,Q5SJT0
1i5fA,1i5f,A,P41016
1oofA,1oof,A,O02372
1ajvA,1ajv,A,P03366
1v6zA,1v6z,A,Q5SKI6
1b00A,1b00,A,P0AFJ5
2cwmA,2cwm,A,P81460
1fwxA,1fwx,A,Q51705
2igpA,2igp,A,O14777
1dhnA,1dhn,A,P56740
1vh7A,1vh7,A,Q9X0C6
1mozA,1moz,A,P38116
2adaA,2ada,A,P03958
1vyoA,1vyo,A,P02701
2bzgA,2bzg,A,P51580
1buyA,1buy,A,P01588
2guuA,2guu,A,
1x9qA,1x9q,A,
2h2nA,2h2n,A,Q8WVQ1
1n43A,1n43,A,P22629
1jp3A,1jp3,A,P60472
1xppA,1xpp,A,Q9HIC5
1wu3I,1wu3,I,P01575
1zlmA,1zlm,A,Q92882
1u02A,1u02,A,Q9HIW7
2fg4A,2fg4,A,P02792
1ka9F,1ka9,F,Q7SIB9
1sgjA,1sgj,A,Q9RUZ0
1nm7A,1nm7,A,P80667
2gf9A,2gf9,A,O95716
1e96A,1e96,A,P63000
1s8aA,1s8a,A,P0A731
1aidA,1aid,A,P03369
1au1A,1au1,A,P01574
1kr4A,1kr4,A,Q9X0E6
1xheA,1xhe,A,P0A9Q1
1ahrA,1ahr,A,P62149
2dbmA,2dbm,A,Q99962
1gwkA,1gwk,A,Q9C171
1sevA,1sev,A,P19446
1vl5A,1vl5,A,Q9KAF6
2fp8A,2fp8,A,P68175
1y63A,1y63,A,Q4Q7A6
2ocbA,2ocb,A,Q9NP90
1gnzA,1gnz,A,Q8W1R6
1ww4A,1ww4,A,Q6WY08
1ax0A,1ax0,A,P16404
2g69A,2g69,A,P03366
1cx1A,1cx1,A,P14090
1zccA,1zcc,A,A9CG82
1byrA,1byr,A,Q46707
2b3sA,2b3s,A,P0AEG4
1ki9A,1ki9,A,P43410
1o1zA,1o1z,A,Q9X1V6
2gskB,2gsk,B,P02929
2cxxA,2cxx,A,O57939
1cd9A,1cd9,A,P09919
1j2qA,1j2q,A,O29760
2duaA,2dua,A,Q84G06
1bq7A,1bq7,A,P0AEG4
1e19A,1e19,A,P95474
1c07A,1c07,A,P42566
1bluA,1blu,A,P00208
1rofA,1rof,A,P46797
1jjzA,1jjz,A,P56254
1olzA,1olz,A,Q92854
1a4lA,1a4l,A,P03958
1g9oA,1g9o,A,O14745
1n3oA,1n3o,A,Q8GSD2
1h4xA,1h4x,A,O32723
1huwA,1huw,A,P01241
1i9cA,1i9c,A,P80078
2drqA,2drq,A,Q9KB30
1gnmA,1gnm,A,P03366
1zsxA,1zsx,A,Q13303
1u9kA,1u9k,A,Q9JKE2
1mk5A,1mk5,A,P22629
1wblA,1wbl,A,O24313
1nqmA,1nqm,A,P22629
1qx2A,1qx2,A,P02633
1sntA,1snt,A,Q9Y3R4
1i1wA,1i1w,A,P23360
13pkA,13pk,A,P07378
1t8xA,1t8x,A,O66496
1xbxA,1xbx,A,P39304
1h8oA,1h8o,A,
3csmA,3csm,A,P32178
2dadA,2dad,A,Q9Y4K1
1n7yA,1n7y,A,P22629
2fekA,2fek,A,P0AAB2
1aboA,1abo,A,P00520
2fqaA,2fqa,A,Q2HY54
2j1lA,2j1l,A,O00212
2h68A,2h68,A,P61964
1f9kA,1f9k,A,Q9SM56
3nllA,3nll,A,P00322
1ucpA,1ucp,A,Q9ULZ3
1uueA,1uue,A,P07751
1w5pA,1w5p,A,Q59643
1a14N,1a14,N,P03472
1gykA,1gyk,A,P02743
1lxnA,1lxn,A,O27255
2gelA,2gel,A,Q7CQE0
1wu4A,1wu4,A,Q9KB30
1vcjA,1vcj,A,P03474
1ab6A,1ab6,A,P0AE67
2b4aA,2b4a,A,Q9K8I2
2bcmB,2bcm,B,P13719
1hdrA,1hdr,A,P09417
1b57A,1b57,A,P0AB71
2fukA,2fuk,A,B0RM26
1bbhA,1bbh,A,P00154
1jubA,1jub,A,A2RJT9
1mjhA,1mjh,A,Q57997
2ct4A,2ct4,A,Q15642
2creA,2cre,A,Q9NQ75
2f40A,2f40,A,Q8U0X6
2h3xA,2h3x,A,P84888
2icaA,2ica,A,P20701
1czyA,1czy,A,Q12933
2iarA,2iar,A,Q7SIG4
1b54A,1b54,A,P38197
2hjvA,2hjv,A,P42305
1qjhA,1qjh,A,P23370
1wkeA,1wke,A,P28720
1e9fA,1e9f,A,P23919
1e9fA,1e9f,A,P0A720
1xj5A,1xj5,A,Q9ZUB3
1yyfD,1yyf,D,P39070
1moyA,1moy,A,P22629
1j8yF,1j8y,F,P70722
1s72X,1s72,X,P18138
1g65F,1g65,F,P21242
1dt4A,1dt4,A,P51513
1l6fA,1l6f,A,P10724
1nsfA,1nsf,A,P18708
2besA,2bes,A,P9WKD7
2ifxA,2ifx,A,O51799
1bzaA,1bza,A,Q47066
1qy7A,1qy7,A,P0A3F4
1hg3A,1hg3,A,P62003
1guiA,1gui,A,Q9WXN1
1y0eA,1y0e,A,P65517
1tpc1,1tpc,1,P00940
1fo2A,1fo2,A,Q9UKM7
1h98A,1h98,A,P03942
1b07A,1b07,A,Q64010
1lssA,1lss,A,Q58505
1uszA,1usz,A,Q57254
1pvaA,1pva,A,P02628
1fyuA,1fyu,A,P16404
2ayzA,2ayz,A,P0DMC5
2atxA,2atx,A,P17081
2fgvA,2fgv,A,P03369
1k2bA,1k2b,A,P04587
1hivA,1hiv,A,P04585
2b79A,2b79,A,
1z5oA,1z5o,A,P0AF12
2gjvA,2gjv,A,Q8ZKJ0
1icxA,1icx,A,P52778
1yu9A,1yu9,A,P20338
2fddA,2fdd,A,Q7SPG9
2fh5B,2fh5,B,P47758
1xm2A,1xm2,A,Q93096
1aq4A,1aq4,A,P03612
1ywfA,1ywf,A,P96830
1cb1A,1cb1,A,P02632
1uipA,1uip,A,P03958
1zujA,1zuj,A,
2a28A,2a28,A,P38822
2bk6A,2bk6,A,P80725
1nbxA,1nbx,A,P22629
1og6A,1og6,A,P76187
2dm8A,2dm8,A,Q8NI35
2bcgY,2bcg,Y,P01123
1tr9A,1tr9,A,Q9KU37
1aq3A,1aq3,A,P03612
1ncaN,1nca,N,P03472
1peyA,1pey,A,P06628
2gc4A,2gc4,A,P29894
1kbjA,1kbj,A,P00175
1z7cA,1z7c,A,P0DML2
1irjA,1irj,A,P06702
1yzkA,1yzk,A,P62491
1w17A,1w17,A,O34928
1dziA,1dzi,A,P17301
1dkwA,1dkw,A,P04789
2gvuA,2gvu,A,Q7SIG4
2bdqA,2bdq,A,Q8DYB9
2gjfA,2gjf,A,
1ri1A,1ri1,A,Q8SR66
1q8bA,1q8b,A,O31641
1tq8A,1tq8,A,P9WFC9
1wgoA,1wgo,A,Q96PQ0
1v3zA,1v3z,A,P84142
1bvyF,1bvy,F,P14779
1gpwA,1gpw,A,Q9X0C6
2gdfA,2gdf,A,P08902
1jf0A,1jf0,A,Q27709
1udwA,1udw,A,Q9BZX2
2az9A,2az9,A,P03367
1u0sY,1u0s,Y,Q56312
2fk7A,2fk7,A,Q79FX8
1ej8A,1ej8,A,P40202
1qtjA,1qtj,A,
2avgA,2avg,A,Q14896
1lihA,1lih,A,P02941
1d4zA,1d4z,A,P0AE67
1eavA,1eav,A,Q39054
1i2pA,1i2p,A,P0A870
1kktA,1kkt,A,P31723
4blmA,4blm,A,P00808
1xs5A,1xs5,A,O07950
2b0hA,2b0h,A,P26039
1pioA,1pio,A,P00807
1wcxA,1wcx,A,Q5SKH2
1ns5A,1ns5,A,P0A8I8
1r8sA,1r8s,A,P84080
1vc3B,1vc3,B,Q5SKN7
2iimA,2iim,A,P06239
1r62A,1r62,A,P0AFB5
1d3gA,1d3g,A,Q02127
2fh5A,2fh5,A,P08240
1j1tA,1j1t,A,P84143
1jrlA,1jrl,A,P0ADA1
1bd0A,1bd0,A,P10724
1d5wA,1d5w,A,P10958
1oojA,1ooj,A,O16305
1wlwA,1wlw,A,Q9YIC2
1f5fA,1f5f,A,P04278
1dbnA,1dbn,A,P93248
2g6zA,2g6z,A,Q16690
1za4A,1za4,A,P07996
2a61A,2a61,A,Q9WZG9
1twdA,1twd,A,P67825
2ht6A,2ht6,A,P55040
1puoA,1puo,A,P30440
1puoA,1puo,A,P30438
1hzaA,1hza,A,P41016
1ja9A,1ja9,A,Q9HFV6
1vbjA,1vbj,A,Q9GV41
1v6sA,1v6s,A,P09403
2fcwA,2fcw,A,P30533
2gtgA,2gtg,A,P07602
1rjvA,1rjv,A,P20472
1mh1A,1mh1,A,P63000
1ffhA,1ffh,A,O07347
2a5cA,2a5c,A,P02701
1p4kA,1p4k,A,Q47898
1i3cA,1i3c,A,Q55169
2g77B,2g77,B,O35963
2h58A,2h58,A,
1z06A,1z06,A,O35963
2ihsA,2ihs,A,A1Z6E0
1spxA,1spx,A,Q18946
1aldA,1ald,A,P04075
1mssA,1mss,A,P04789
1sq9A,1sq9,A,Q02793
1tpyA,1tpy,A,Q79FX6
2ao2A,2ao2,A,P9WIB9
1c7eA,1c7e,A,P00323
3silA,3sil,A,P29768
1j9eA,1j9e,A,P00323
1utiA,1uti,A,O89100
1m4yA,1m4y,A,Q9WYZ1
1orxA,1orx,A,P56254
2o1mA,2o1m,A,O34852
1a50A,1a50,A,P00929
1ehcA,1ehc,A,P0AE67
2c5lA,2c5l,A,P01112
1f1mA,1f1m,A,Q9AGB1
1i4tD,1i4t,D,P63000
1gq5A,1gq5,A,O14745
1uzyA,1uzy,A,Q6YD91
2dl3A,2dl3,A,Q9BX66
1lzqA,1lzq,A,P03367
1mvoA,1mvo,A,P13792
2b98A,2b98,A,Q58584
1x5pA,1x5p,A,P18615
1mojA,1moj,A,Q9HMP7
1u6dX,1u6d,X,Q14145
1y52X,1y52,X,P56734
1jnrB,1jnr,B,O28604
2cwrA,2cwr,A,Q8U1H5
1hzcA,1hzc,A,P41016
2foxA,2fox,A,P00322
2cudA,2cud,A,Q13239
1uslA,1usl,A,P9WKD7
1zesA,1zes,A,P0AFJ5
2extA,2ext,A,Q9X6J6
2cunA,2cun,A,O58965
1bxbA,1bxb,A,P26997
1fzqA,1fzq,A,Q9WUL7
2bovA,2bov,A,P11233
1n1uA,1n1u,A,P56254
2camA,2cam,A,P02701
1ootA,1oot,A,P43603
2g1pA,2g1p,A,P0AEE8
1a7mA,1a7m,A,P09056
1hd3A,1hd3,A,P07751
3chbD,3chb,D,P01556
2bfwA,2bfw,A,Q9V2J8
1fhaA,1fha,A,P02794
1yltA,1ylt,A,Q9L5C7
2bkuA,2bku,A,P62825
1g16A,1g16,A,P07560
1o60A,1o60,A,P45251
2d7cA,2d7c,A,P62491
1fxkA,1fxk,A,O26774
2ew1A,2ew1,A,Q15771
1hjsA,1hjs,A,P83692
1blcA,1blc,A,P00807
1yzlA,1yzl,A,Q9R0M6
1mihA,1mih,A,P0AE67
1iruA,1iru,A,Q2YDE4
1ljuA,1lju,A,P0A006
1i4nA,1i4n,A,Q56319
1m3gA,1m3g,A,Q05923
2cucA,2cuc,A,Q8BZT2
2gokA,2gok,A,Q8U8Z6
1pyuB,1pyu,B,P0A790
1lxjA,1lxj,A,P35195
1zs3A,1zs3,A,
2j9lA,2j9l,A,P51795
1vlhA,1vlh,A,Q9WZK0
1aw5A,1aw5,A,P05373
1gnkA,1gnk,A,P0AC55
1zwiC,1zwi,C,P0A334
2cwsA,2cws,A,Q75WP3
1i7qB,1i7q,B,P00900
1veeA,1vee,A,Q9M158
1jmwA,1jmw,A,P02941
1louA,1lou,A,P23370
1fp3A,1fp3,A,P17560
1kwfA,1kwf,A,A3DC29
2gs4A,2gs4,A,P21362
2ilbA,2ilb,A,
1n9mA,1n9m,A,P22629
1wtpA,1wtp,A,P13123
1p9mB,1p9m,B,P05231
2htyA,2hty,A,Q6DPL2
1c0eA,1c0e,A,P11064
2fhmA,2fhm,A,O35031
1frjA,1frj,A,P00214
2nxoA,2nxo,A,Q9L0T8
1izcA,1izc,A,Q9UVD4
9gafA,9gaf,A,Q47898
1ig5A,1ig5,A,P02633
1zsgA,1zsg,A,Q14155
2b6mA,2b6m,A,P0AEG4
1prlC,1prl,C,P00523
2agkA,2agk,A,P40545
1kf0A,1kf0,A,Q7SIB7
1zc3A,1zc3,A,P11233
1yauA,1yau,A,P25156
1txvA,1txv,A,
1b34B,1b34,B,P62316
1h96A,1h96,A,P29391
1itvA,1itv,A,P14780
2cw6A,2cw6,A,P35914
1qavA,1qav,A,Q61234
1km4A,1km4,A,O26232
1kpiA,1kpi,A,P9WPB5
1bueA,1bue,A,P52663
3hhrA,3hhr,A,P01241
2ew3A,2ew3,A,Q99963
1dqgA,1dqg,A,Q61830
1triA,1tri,A,P04789
1n6iA,1n6i,A,P20339
1c9iA,1c9i,A,P11442
1a0rB,1a0r,B,P62871
1h4hA,1h4h,A,Q7SIE2
6nn9A,6nn9,A,P03472
2djqA,2djq,A,Q8BZT2
1jcjA,1jcj,A,P0A6L0
1mxfA,1mxf,A,Q8I814
1i01A,1i01,A,P0AEK2
1xncA,1xnc,A,P09850
1st8A,1st8,A,Q93X60
1w1iE,1w1i,E,P56658
2g29A,2g29,A,P73452
1vetB,1vet,B,Q9JHS3
1heyA,1hey,A,P0AE67
1t64A,1t64,A,Q9BY41
1pvxA,1pvx,A,P81536
1b1aA,1b1a,A,P80078
1e6kA,1e6k,A,P0AE67
2ervA,2erv,A,Q9HVD1
2i3sA,2i3s,A,P26449
1ezwA,1ezw,A,Q8TXY4
1so4A,1so4,A,P39304
1m39A,1m39,A,P41208
1viwB,1viw,B,P02873
1asuA,1asu,A,O92956
3pgkA,3pgk,A,P00560
1m3cA,1m3c,A,Q64010
1vpqA,1vpq,A,Q9X1W6
1ftnA,1ftn,A,P61586
1awoA,1awo,A,P00519
2dpxA,2dpx,A,P55042
1o5qA,1o5q,A,Q56062
1yztA,1yzt,A,Q9UL25
1i13A,1i13,A,Q4DRC4
1sr4A,1sr4,A,O06522
1h9wA,1h9w,A,P81637
1bw9A,1bw9,A,Q59771
1namB,1nam,B,P04214
1a4rA,1a4r,A,P60953
1gq1A,1gq1,A,P72181
1h7oA,1h7o,A,P05373
2gvxA,2gvx,A,Q7SIG4
1n6nA,1n6n,A,P20339
2fjkA,2fjk,A,Q703I2
1utaA,1uta,A,P29131
1lbmA,1lbm,A,Q56320
1gczA,1gcz,A,P14174
1ukvY,1ukv,Y,P01123
2d92A,2d92,A,Q8NI35
1m41A,1m41,A,P80645
1dw6C,1dw6,C,P03366
1bg7A,1bg7,A,P07229
1hz9A,1hz9,A,P41016
1xxxA,1xxx,A,P9WP25
2h9mA,2h9m,A,P61964
1gfcA,1gfc,A,P62993
1zszA,1zsz,A,P45206
41biA,41bi,A,P01584
1wcrA,1wcr,A,P69791
2biwA,2biw,A,P74334
1ajoA,1ajo,A,P23904
1ft3A,1ft3,A,P52565
2cheA,2che,A,P0A2D5
1hurA,1hur,A,P84077
1aiuA,1aiu,A,P10599
1d1oA,1d1o,A,P02633
2fv8A,2fv8,A,P62745
1te2A,1te2,A,P77247
1yd3A,1yd3,A,Q9WYA3
1stpA,1stp,A,P22629
2bjdA,2bjd,A,Q97ZL0
1rkeB,1rke,B,P18206
1iruK,1iru,K,Q5E9K0
1jl3A,1jl3,A,P45947
1avdA,1avd,A,P02701
1hixA,1hix,A,Q59962
2hdoA,2hdo,A,F9UM81
2d5kA,2d5k,A,A0A0H2X069
1s1cA,1s1c,A,P61586
2d4zA,2d4z,A,P21564
1ri6A,1ri6,A,P52697
1le4A,1le4,A,P02649
1y8cA,1y8c,A,Q97GJ5
1ek0A,1ek0,A,P36017
2j3wA,2j3w,A,Q9CQP2
1jf8A,1jf8,A,P0A006
2d97A,2d97,A,P36217
1i2oA,1i2o,A,P0A870
1q5qA,1q5q,A,Q53080
2e2aA,2e2a,A,P23532
1e94A,1e94,A,P0A7B8
2fjcA,2fjc,A,P16665
1hl2A,1hl2,A,P0A6L4
1dazC,1daz,C,P03367
2h8xA,2h8x,A,Q88NF7
1n5bA,1n5b,A,P31490
1bq3D,1bq3,D,P00950
